UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:P12724:T116:PRGE	Eosinophil cationic protein|RNASE3	UNIPROT:P12724|GENE:6037
UNIPROT:Q96FZ7:T116:PRGE	Charged multivesicular body protein 6|CHMP6	UNIPROT:Q96FZ7|GENE:79643
UNIPROT:Q08117:T116:PRGE	Amino enhancer of split|AES	UNIPROT:Q08117|GENE:166
UNIPROT:Q9H1I8:T116:PRGE	Activating signal cointegrator 1 complex subunit 2|ASCC2	UNIPROT:Q9H1I8|GENE:84164
UNIPROT:Q9H0U9:T116:PRGE	TSPY-like protein 1|TSPYL1	UNIPROT:Q9H0U9|GENE:7259
UNIPROT:Q8IZ40:T116:PRGE	REST corepressor 2|RCOR2	UNIPROT:Q8IZ40|GENE:283248
UNIPROT:Q53HV7:T116:PRGE	Single-strand selective monofunctional uracil DNA glycosylase|SMUG1	UNIPROT:Q53HV7|GENE:23583
UNIPROT:Q86X76:T116:PRGE	Nitrilase homolog 1|NIT1	UNIPROT:Q86X76|GENE:4817
UNIPROT:Q8TC07:T116:PRGE	TBC1 domain family member 15|TBC1D15	UNIPROT:Q8TC07|GENE:64786
UNIPROT:P54317:T116:PRGE	PL-RP2|PNLIPRP2	UNIPROT:P54317|GENE:5408
UNIPROT:P20309:T116:PRGE	Muscarinic acetylcholine receptor M3|CHRM3	UNIPROT:P20309|GENE:1131
UNIPROT:Q9BZ11:T116:PRGE	Disintegrin and metalloproteinase domain-containing protein 33|ADAM33	UNIPROT:Q9BZ11|GENE:80332
UNIPROT:Q6L8G8:T116:PRGE	Keratin-associated protein 5-7|KRTAP5-7	UNIPROT:Q6L8G8|GENE:440050
UNIPROT:Q6UWT2:T116:PRGE	Adropin|ENHO	UNIPROT:Q6UWT2|GENE:375704
UNIPROT:Q14651:T116:PRGE	Plastin-1|PLS1	UNIPROT:Q14651|GENE:5357
UNIPROT:Q8IWI9:T116:PRGE	MAX gene-associated protein|MGA	UNIPROT:Q8IWI9|GENE:23269
UNIPROT:P09630:T116:PRGE	Homeobox protein Hox-C6|HOXC6	UNIPROT:P09630|GENE:3223
UNIPROT:Q16625:T116:PRGE	Occludin|OCLN	UNIPROT:Q16625|GENE:100506658
UNIPROT:Q92620:T116:PRGE	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16|DHX38	UNIPROT:Q92620|GENE:9785
UNIPROT:Q86WT6:T116:PRGE	Tripartite motif-containing protein 69|TRIM69	UNIPROT:Q86WT6|GENE:140691
UNIPROT:Q6ZUX3:T116:PRGE	Protein FAM179A|FAM179A	UNIPROT:Q6ZUX3|GENE:165186
UNIPROT:P62495:T116:PRGE	Eukaryotic release factor 1|ETF1	UNIPROT:P62495|GENE:2107
UNIPROT:Q96ES6:T116:PRGE	Major facilitator superfamily domain-containing protein 3|MFSD3	UNIPROT:Q96ES6|GENE:113655
UNIPROT:P34913:T116:PRGE	Epoxide hydrolase 2|EPHX2	UNIPROT:P34913|GENE:2053
UNIPROT:Q8TC17:T116:PRGE	GRB2-related adapter protein-like|GRAPL	UNIPROT:Q8TC17|GENE:400581
UNIPROT:P68543:T116:PRGE	UBX domain-containing protein 2A|UBXN2A	UNIPROT:P68543|GENE:165324
UNIPROT:P01619:T116:PRGE	Ig kappa chain V-III region B6	UNIPROT:P01619
UNIPROT:Q9P273:T116:PRGE	Ten-3|ODZ3	UNIPROT:Q9P273|GENE:55714
UNIPROT:Q96T23:T116:PRGE	Remodeling and spacing factor 1|RSF1	UNIPROT:Q96T23|GENE:51773
UNIPROT:Q92786:T116:PRGE	Prospero homeobox protein 1|PROX1	UNIPROT:Q92786|GENE:5629
UNIPROT:Q86Y28:T116:PRGE	B melanoma antigen 4|BAGE4	UNIPROT:Q86Y28|GENE:85317
UNIPROT:P43699:T116:PRGE	Homeobox protein Nkx-2.1|NKX2-1	UNIPROT:P43699|GENE:7080
UNIPROT:Q96DZ7:T116:PRGE	Transmembrane 4 L6 family member 19|TM4SF19	UNIPROT:Q96DZ7|GENE:116211
UNIPROT:Q16553:T116:PRGE	Ly-6E|LY6E	UNIPROT:Q16553|GENE:4061
UNIPROT:Q9BUL9:T116:PRGE	RNase P protein subunit p25|RPP25	UNIPROT:Q9BUL9|GENE:54913
UNIPROT:Q9BVR0:T116:PRGE	Putative HERC2-like protein 3	UNIPROT:Q9BVR0
UNIPROT:Q9HBU1:T116:PRGE	Homeobox protein BarH-like 1|BARX1	UNIPROT:Q9HBU1|GENE:56033
UNIPROT:Q8N4P3:T116:PRGE	HD domain-containing protein 3|HDDC3	UNIPROT:Q8N4P3|GENE:374659
UNIPROT:Q9YNA8:T116:PRGE	HERV-K_19q12 provirus ancestral Gag polyprotein	UNIPROT:Q9YNA8
UNIPROT:Q9NX18:T116:PRGE	SDH assembly factor 2|SDHAF2	UNIPROT:Q9NX18|GENE:54949
UNIPROT:Q8TDD5:T116:PRGE	Mucolipin-3|MCOLN3	UNIPROT:Q8TDD5|GENE:55283
UNIPROT:P48539:T116:PRGE	Purkinje cell protein 4|PCP4	UNIPROT:P48539|GENE:5121
UNIPROT:Q76G19:T116:PRGE	PDZ domain-containing protein 4|PDZD4	UNIPROT:Q76G19|GENE:57595
UNIPROT:Q6ZV60:T116:PRGE	Putative uncharacterized protein encoded by NCRNA00173	UNIPROT:Q6ZV60
UNIPROT:P01616:T116:PRGE	Ig kappa chain V-II region MIL	UNIPROT:P01616
UNIPROT:P28065:T116:PRGE	Proteasome subunit beta type-9|PSMB9	UNIPROT:P28065|GENE:5698
UNIPROT:Q15048:T116:PRGE	Leucine-rich repeat-containing protein 14|LRRC14	UNIPROT:Q15048|GENE:9684
UNIPROT:P20160:T116:PRGE	Azurocidin|AZU1	UNIPROT:P20160|GENE:566
UNIPROT:Q9UKS7:T116:PRGE	Zinc finger protein Helios|IKZF2	UNIPROT:Q9UKS7|GENE:22807
UNIPROT:Q96N77:T116:PRGE	Zinc finger protein 641|ZNF641	UNIPROT:Q96N77|GENE:121274
UNIPROT:Q96P47:T116:PRGE	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3|AGAP3	UNIPROT:Q96P47|GENE:116988
UNIPROT:Q6ZWH5:T116:PRGE	Serine/threonine-protein kinase Nek10|NEK10	UNIPROT:Q6ZWH5|GENE:152110
UNIPROT:Q9UDW1:T116:PRGE	Cytochrome b-c1 complex subunit 9|UQCR10	UNIPROT:Q9UDW1|GENE:29796
UNIPROT:Q9H0E9:T116:PRGE	Bromodomain-containing protein 8|BRD8	UNIPROT:Q9H0E9|GENE:10902
UNIPROT:Q8WWP7:T116:PRGE	GTPase IMAP family member 1|GIMAP1	UNIPROT:Q8WWP7|GENE:170575
UNIPROT:Q8N8R7:T116:PRGE	Uncharacterized protein C11orf46|C11orf46	UNIPROT:Q8N8R7|GENE:120534
UNIPROT:Q13503:T116:PRGE	Mediator of RNA polymerase II transcription subunit 21|MED21	UNIPROT:Q13503|GENE:9412
UNIPROT:Q8NFT6:T116:PRGE	Protein DBF4 homolog B|DBF4B	UNIPROT:Q8NFT6|GENE:80174
UNIPROT:P13688:T116:PRGE	Carcinoembryonic antigen-related cell adhesion molecule 1|CEACAM1	UNIPROT:P13688|GENE:634
UNIPROT:Q8WZ74:T116:PRGE	Cortactin-binding protein 2|CTTNBP2	UNIPROT:Q8WZ74|GENE:83992
UNIPROT:Q96QZ7:T116:PRGE	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1|MAGI1	UNIPROT:Q96QZ7|GENE:9223
UNIPROT:Q16099:T116:PRGE	Glutamate receptor, ionotropic kainate 4|GRIK4	UNIPROT:Q16099|GENE:2900
UNIPROT:Q70CQ1:T116:PRGE	Ubiquitin carboxyl-terminal hydrolase 49|USP49	UNIPROT:Q70CQ1|GENE:25862
UNIPROT:Q9UL54:T116:PRGE	Serine/threonine-protein kinase TAO2|TAOK2	UNIPROT:Q9UL54|GENE:9344
UNIPROT:Q08378:T116:PRGE	Golgin subfamily A member 3|GOLGA3	UNIPROT:Q08378|GENE:2802
UNIPROT:P40306:T116:PRGE	Proteasome subunit beta type-10|PSMB10	UNIPROT:P40306|GENE:5699
UNIPROT:P52849:T116:PRGE	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2|NDST2	UNIPROT:P52849|GENE:8509
UNIPROT:P53611:T116:PRGE	Geranylgeranyl transferase type-2 subunit beta|RABGGTB	UNIPROT:P53611|GENE:5876
UNIPROT:Q86VP3:T116:PRGE	PACS-2|PACS2	UNIPROT:Q86VP3|GENE:23241
UNIPROT:Q13291:T116:PRGE	Signaling lymphocytic activation molecule|SLAMF1	UNIPROT:Q13291|GENE:6504
UNIPROT:Q15653:T116:PRGE	NF-kappa-B inhibitor beta|NFKBIB	UNIPROT:Q15653|GENE:4793
UNIPROT:Q9UNT1:T116:PRGE	Rab-like protein 2B|RABL2B	UNIPROT:Q9UNT1|GENE:11158
UNIPROT:Q9C0K1:T116:PRGE	Zinc transporter ZIP8|SLC39A8	UNIPROT:Q9C0K1|GENE:64116
UNIPROT:Q96KC9:T116:PRGE	Casein-like phosphoprotein|CABS1	UNIPROT:Q96KC9|GENE:85438
UNIPROT:Q9Y2S2:T116:PRGE	Lambda-crystallin homolog|CRYL1	UNIPROT:Q9Y2S2|GENE:51084
UNIPROT:P07737:T116:PRGE	Profilin-1|PFN1	UNIPROT:P07737|GENE:5216
UNIPROT:P13640:T116:PRGE	Metallothionein-1G|MT1G	UNIPROT:P13640|GENE:4495
UNIPROT:Q8NGC9:T116:PRGE	Olfactory receptor 11H4|OR11H4	UNIPROT:Q8NGC9|GENE:390442
UNIPROT:Q5BJH7:T116:PRGE	Protein YIF1B|YIF1B	UNIPROT:Q5BJH7|GENE:90522
UNIPROT:P35916:T116:PRGE	VEGFR-3|FLT4	UNIPROT:P35916|GENE:2324
UNIPROT:Q6P5W5:T116:PRGE	Zinc transporter ZIP4|SLC39A4	UNIPROT:Q6P5W5|GENE:55630
UNIPROT:Q9C0C2:T116:PRGE	182 kDa tankyrase-1-binding protein|TNKS1BP1	UNIPROT:Q9C0C2|GENE:85456
UNIPROT:O60361:T116:PRGE	NDK	UNIPROT:O60361
UNIPROT:Q08J23:T116:PRGE	tRNA (cytosine-5-)-methyltransferase NSUN2|NSUN2	UNIPROT:Q08J23|GENE:54888
UNIPROT:Q9GZY0:T116:PRGE	Nuclear RNA export factor 2	UNIPROT:Q9GZY0
UNIPROT:P0CG01:T116:PRGE	Gastrokine-3	UNIPROT:P0CG01
UNIPROT:Q5SYE7:T116:PRGE	NHS-like protein 1|NHSL1	UNIPROT:Q5SYE7|GENE:57224
UNIPROT:Q8NGB4:T116:PRGE	Olfactory receptor 4S1|OR4S1	UNIPROT:Q8NGB4|GENE:256148
UNIPROT:Q03181:T116:PRGE	PPAR-delta|PPARD	UNIPROT:Q03181|GENE:5467
UNIPROT:Q9Y581:T116:PRGE	Insulin-like peptide 6|INSL6	UNIPROT:Q9Y581|GENE:11172
UNIPROT:Q15833:T116:PRGE	Syntaxin-binding protein 2|STXBP2	UNIPROT:Q15833|GENE:6813
UNIPROT:Q14764:T116:PRGE	Major vault protein|MVP	UNIPROT:Q14764|GENE:9961
UNIPROT:Q9UMX3:T116:PRGE	hBOK|BOK	UNIPROT:Q9UMX3|GENE:666
UNIPROT:A6NGK3:T116:PRGE	G antigen 10|GAGE10	UNIPROT:A6NGK3|GENE:643832
UNIPROT:Q15973:T116:PRGE	Zinc finger protein 124|ZNF124	UNIPROT:Q15973|GENE:7678
UNIPROT:O15041:T116:PRGE	Semaphorin-3E|SEMA3E	UNIPROT:O15041|GENE:9723
UNIPROT:Q7Z4B0:T116:PRGE	Putative uncharacterized protein C18orf20	UNIPROT:Q7Z4B0
UNIPROT:Q5VTM1:T116:PRGE	Protein FAM25	UNIPROT:Q5VTM1
UNIPROT:Q8NGD1:T116:PRGE	Olfactory receptor 4N2|OR4N2	UNIPROT:Q8NGD1|GENE:390429
UNIPROT:P30084:T116:PRGE	Enoyl-CoA hydratase, mitochondrial|ECHS1	UNIPROT:P30084|GENE:1892
UNIPROT:Q8WV07:T116:PRGE	Oral cancer-overexpressed protein 1|ORAOV1	UNIPROT:Q8WV07|GENE:220064
UNIPROT:Q6QAJ8:T116:PRGE	Transmembrane protein 220|TMEM220	UNIPROT:Q6QAJ8|GENE:388335
UNIPROT:Q9UH65:T116:PRGE	SWAP-70|SWAP70	UNIPROT:Q9UH65|GENE:23075
UNIPROT:Q8IWJ2:T116:PRGE	GRIP and coiled-coil domain-containing protein 2|GCC2	UNIPROT:Q8IWJ2|GENE:9648
UNIPROT:Q9UDV6:T116:PRGE	Zinc finger protein 212|ZNF212	UNIPROT:Q9UDV6|GENE:7988
UNIPROT:A8MZ25:T116:PRGE	Putative uncharacterized protein FLJ38767	UNIPROT:A8MZ25
UNIPROT:P04921:T116:PRGE	Glycophorin-C|GYPC	UNIPROT:P04921|GENE:2995
UNIPROT:Q9BQ67:T116:PRGE	Glutamate-rich WD repeat-containing protein 1|GRWD1	UNIPROT:Q9BQ67|GENE:83743
UNIPROT:Q96CT2:T116:PRGE	Kelch-like protein 29|KLHL29	UNIPROT:Q96CT2|GENE:114818
UNIPROT:Q01113:T116:PRGE	IL-9R|IL9R	UNIPROT:Q01113|GENE:3581
UNIPROT:O15085:T116:PRGE	Rho guanine nucleotide exchange factor 11|ARHGEF11	UNIPROT:O15085|GENE:9826
UNIPROT:Q8J025:T116:PRGE	Protein APCDD1|APCDD1	UNIPROT:Q8J025|GENE:147495
UNIPROT:P31483:T116:PRGE	Nucleolysin TIA-1 isoform p40|TIA1	UNIPROT:P31483|GENE:7072
UNIPROT:O75312:T116:PRGE	Zinc finger protein ZPR1|ZNF259	UNIPROT:O75312|GENE:8882
UNIPROT:Q9Y224:T116:PRGE	UPF0568 protein C14orf166|C14orf166	UNIPROT:Q9Y224|GENE:51637
UNIPROT:Q7Z3Z4:T116:PRGE	Piwi-like protein 4|PIWIL4	UNIPROT:Q7Z3Z4|GENE:143689
UNIPROT:Q9Y2X9:T116:PRGE	Zinc finger protein 281|ZNF281	UNIPROT:Q9Y2X9|GENE:23528
UNIPROT:Q8NGX5:T116:PRGE	Olfactory receptor 10K1|OR10K1	UNIPROT:Q8NGX5|GENE:391109
UNIPROT:Q9NVF7:T116:PRGE	F-box only protein 28|FBXO28	UNIPROT:Q9NVF7|GENE:23219
UNIPROT:Q8WWW0:T116:PRGE	Ras association domain-containing protein 5|RASSF5	UNIPROT:Q8WWW0|GENE:83593
UNIPROT:Q8NGA6:T116:PRGE	Olfactory receptor 10H5|OR10H5	UNIPROT:Q8NGA6|GENE:284433
UNIPROT:A8MQB9:T116:PRGE	Putative ankyrin repeat domain-containing protein ENSP00000330211	UNIPROT:A8MQB9
UNIPROT:Q96HD1:T116:PRGE	Cysteine-rich with EGF-like domain protein 1|CRELD1	UNIPROT:Q96HD1|GENE:78987
UNIPROT:Q96PE1:T116:PRGE	Probable G-protein coupled receptor 124|GPR124	UNIPROT:Q96PE1|GENE:25960
UNIPROT:Q04724:T116:PRGE	Transducin-like enhancer protein 1|TLE1	UNIPROT:Q04724|GENE:7088
UNIPROT:Q96JA4:T116:PRGE	Membrane-spanning 4-domains subfamily A member 14|MS4A14	UNIPROT:Q96JA4|GENE:84689
UNIPROT:Q9BSJ6:T116:PRGE	Protein FAM64A|FAM64A	UNIPROT:Q9BSJ6|GENE:54478
UNIPROT:Q53GT1:T116:PRGE	Kelch-like protein 22|KLHL22	UNIPROT:Q53GT1|GENE:84861
UNIPROT:Q969V5:T116:PRGE	Mitochondrial ubiquitin ligase activator of NFKB 1|MUL1	UNIPROT:Q969V5|GENE:79594
UNIPROT:Q5JPI9:T116:PRGE	Methyltransferase-like protein 10|METTL10	UNIPROT:Q5JPI9|GENE:399818
UNIPROT:Q16534:T116:PRGE	Hepatic leukemia factor|HLF	UNIPROT:Q16534|GENE:3131
UNIPROT:Q6UXU6:T116:PRGE	Transmembrane protein 92|TMEM92	UNIPROT:Q6UXU6|GENE:162461
UNIPROT:Q9BTD1:T116:PRGE	Putative uncharacterized protein C11orf76	UNIPROT:Q9BTD1
UNIPROT:Q29865:T116:PRGE	HLA class I histocompatibility antigen, Cw-18 alpha chain	UNIPROT:Q29865
UNIPROT:Q5TC82:T116:PRGE	Roquin|RC3H1	UNIPROT:Q5TC82|GENE:149041
UNIPROT:P04083:T116:PRGE	Annexin A1|ANXA1	UNIPROT:P04083|GENE:301
UNIPROT:Q96Q42:T116:PRGE	Alsin|ALS2	UNIPROT:Q96Q42|GENE:57679
UNIPROT:Q9NYG8:T116:PRGE	Potassium channel subfamily K member 4|KCNK4	UNIPROT:Q9NYG8|GENE:50801
UNIPROT:O43610:T116:PRGE	Protein sprouty homolog 3|SPRY3	UNIPROT:O43610|GENE:10251
UNIPROT:P05549:T116:PRGE	Transcription factor AP-2-alpha|TFAP2A	UNIPROT:P05549|GENE:7020
UNIPROT:Q96SZ4:T116:PRGE	Zinc finger and SCAN domain-containing protein 10|ZSCAN10	UNIPROT:Q96SZ4|GENE:84891
UNIPROT:P55851:T116:PRGE	UCP 2|UCP2	UNIPROT:P55851|GENE:7351
UNIPROT:Q6ZV70:T116:PRGE	LanC-like protein 3|LANCL3	UNIPROT:Q6ZV70|GENE:347404
UNIPROT:P48551:T116:PRGE	IFN-alpha/beta receptor 2|IFNAR2	UNIPROT:P48551|GENE:3455
UNIPROT:Q08554:T116:PRGE	Desmocollin-1|DSC1	UNIPROT:Q08554|GENE:1823
UNIPROT:O75339:T116:PRGE	Cartilage intermediate layer protein 1|CILP	UNIPROT:O75339|GENE:8483
UNIPROT:Q9BRN9:T116:PRGE	TM2 domain-containing protein 3|TM2D3	UNIPROT:Q9BRN9|GENE:80213
UNIPROT:Q9BQT9:T116:PRGE	Calsyntenin-3|CLSTN3	UNIPROT:Q9BQT9|GENE:9746
UNIPROT:P21941:T116:PRGE	Cartilage matrix protein|MATN1	UNIPROT:P21941|GENE:4146
UNIPROT:Q6UXX9:T116:PRGE	R-spondin-2|RSPO2	UNIPROT:Q6UXX9|GENE:340419
UNIPROT:Q9NP08:T116:PRGE	Homeobox protein HMX1|HMX1	UNIPROT:Q9NP08|GENE:3166
UNIPROT:O95831:T116:PRGE	Apoptosis-inducing factor 1, mitochondrial|AIFM1	UNIPROT:O95831|GENE:9131
UNIPROT:Q8TCX9:T116:PRGE	Uncharacterized protein C21orf41	UNIPROT:Q8TCX9
UNIPROT:Q9NP97:T116:PRGE	Dynein light chain roadblock-type 1|DYNLRB1	UNIPROT:Q9NP97|GENE:83658
UNIPROT:Q13099:T116:PRGE	Intraflagellar transport protein 88 homolog|IFT88	UNIPROT:Q13099|GENE:8100
UNIPROT:Q96M78:T116:PRGE	Uncharacterized protein C8orf78	UNIPROT:Q96M78
UNIPROT:Q16538:T116:PRGE	Probable G-protein coupled receptor 162|GPR162	UNIPROT:Q16538|GENE:27239
UNIPROT:Q6PIF6:T116:PRGE	Myosin-VIIb|MYO7B	UNIPROT:Q6PIF6|GENE:4648
UNIPROT:Q9UHE5:T116:PRGE	Probable N-acetyltransferase 8|NAT8	UNIPROT:Q9UHE5|GENE:9027
UNIPROT:P42768:T116:PRGE	WASp|WAS	UNIPROT:P42768|GENE:7454
UNIPROT:Q96DC8:T116:PRGE	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial|ECHDC3	UNIPROT:Q96DC8|GENE:79746
UNIPROT:Q9UL46:T116:PRGE	Proteasome activator complex subunit 2|PSME2	UNIPROT:Q9UL46|GENE:5721
UNIPROT:Q9H1R2:T116:PRGE	Dual specificity protein phosphatase 15|DUSP15	UNIPROT:Q9H1R2|GENE:128853
UNIPROT:Q9Y5C1:T116:PRGE	Angiopoietin-related protein 3|ANGPTL3	UNIPROT:Q9Y5C1|GENE:27329
UNIPROT:Q5T4J0:T116:PRGE	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 6|GCNT6	UNIPROT:Q5T4J0|GENE:644378
UNIPROT:Q8N660:T116:PRGE	Neuroblastoma breakpoint family member 15|NBPF15	UNIPROT:Q8N660|GENE:284565
UNIPROT:Q9HAC7:T116:PRGE	CaiB/baiF CoA-transferase family protein C7orf10|C7orf10	UNIPROT:Q9HAC7|GENE:79783
UNIPROT:Q06330:T116:PRGE	Recombining binding protein suppressor of hairless|RBPJ	UNIPROT:Q06330|GENE:3516
UNIPROT:Q16612:T116:PRGE	Neuronal protein 3.1|NREP	UNIPROT:Q16612|GENE:9315
UNIPROT:Q12983:T116:PRGE	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3|BNIP3	UNIPROT:Q12983|GENE:664
UNIPROT:Q9Y2X0:T116:PRGE	Mediator of RNA polymerase II transcription subunit 16|MED16	UNIPROT:Q9Y2X0|GENE:10025
UNIPROT:O00757:T116:PRGE	Fructose-1,6-bisphosphatase isozyme 2|FBP2	UNIPROT:O00757|GENE:8789
UNIPROT:Q8N7R1:T116:PRGE	POM121-like protein 12|POM121L12	UNIPROT:Q8N7R1|GENE:285877
UNIPROT:Q8N4E7:T116:PRGE	Ferritin, mitochondrial|FTMT	UNIPROT:Q8N4E7|GENE:94033
UNIPROT:P17174:T116:PRGE	Aspartate aminotransferase, cytoplasmic|GOT1	UNIPROT:P17174|GENE:2805
UNIPROT:Q8WXI7:T116:PRGE	MUC-16|MUC16	UNIPROT:Q8WXI7|GENE:94025
UNIPROT:Q8NH69:T116:PRGE	Olfactory receptor 5W2|OR5W2	UNIPROT:Q8NH69|GENE:390148
UNIPROT:Q9Y4C4:T116:PRGE	Malignant fibrous histiocytoma-amplified sequence 1|MFHAS1	UNIPROT:Q9Y4C4|GENE:9258
UNIPROT:P30281:T116:PRGE	G1/S-specific cyclin-D3|CCND3	UNIPROT:P30281|GENE:896
UNIPROT:Q9HCE7:T116:PRGE	hSMURF1|SMURF1	UNIPROT:Q9HCE7|GENE:57154
UNIPROT:Q96RN1:T116:PRGE	Testis anion transporter 1|SLC26A8	UNIPROT:Q96RN1|GENE:116369
UNIPROT:Q96PC3:T116:PRGE	AP-1 complex subunit sigma-3|AP1S3	UNIPROT:Q96PC3|GENE:130340
UNIPROT:Q96AX2:T116:PRGE	Ras-related protein Rab-37|RAB37	UNIPROT:Q96AX2|GENE:326624
UNIPROT:Q9BXB1:T116:PRGE	Leucine-rich repeat-containing G-protein coupled receptor 4|LGR4	UNIPROT:Q9BXB1|GENE:55366
UNIPROT:Q92665:T116:PRGE	S31mt|MRPS31	UNIPROT:Q92665|GENE:10240
UNIPROT:Q9BR39:T116:PRGE	JP-2|JPH2	UNIPROT:Q9BR39|GENE:57158
UNIPROT:P67812:T116:PRGE	Signal peptidase complex catalytic subunit SEC11A|SEC11A	UNIPROT:P67812|GENE:23478
UNIPROT:Q96PB1:T116:PRGE	CAS1 domain-containing protein 1|CASD1	UNIPROT:Q96PB1|GENE:64921
UNIPROT:Q9C093:T116:PRGE	Sperm flagellar protein 2|SPEF2	UNIPROT:Q9C093|GENE:79925
UNIPROT:Q9NUL7:T116:PRGE	Probable ATP-dependent RNA helicase DDX28|DDX28	UNIPROT:Q9NUL7|GENE:55794
UNIPROT:Q9H720:T116:PRGE	PGAP2-interacting protein|CWH43	UNIPROT:Q9H720|GENE:80157
UNIPROT:Q9BXR3:T116:PRGE	HERV-K_7p22.1 provirus ancestral Pol protein	UNIPROT:Q9BXR3
UNIPROT:Q96DX8:T116:PRGE	Receptor-transporting protein 4|RTP4	UNIPROT:Q96DX8|GENE:64108
UNIPROT:P50502:T116:PRGE	Hsc70-interacting protein|ST13	UNIPROT:P50502|GENE:6767
UNIPROT:Q9H299:T116:PRGE	SH3 domain-binding glutamic acid-rich-like protein 3|SH3BGRL3	UNIPROT:Q9H299|GENE:83442
UNIPROT:Q9NRX2:T116:PRGE	39S ribosomal protein L17, mitochondrial|MRPL17	UNIPROT:Q9NRX2|GENE:63875
UNIPROT:Q8NCR6:T116:PRGE	Uncharacterized protein C9orf24|C9orf24	UNIPROT:Q8NCR6|GENE:84688
UNIPROT:Q9Y4B4:T116:PRGE	Helicase ARIP4|RAD54L2	UNIPROT:Q9Y4B4|GENE:23132
UNIPROT:Q96NL6:T116:PRGE	Sodium channel and clathrin linker 1|SCLT1	UNIPROT:Q96NL6|GENE:132320
UNIPROT:A8MXD5:T116:PRGE	Glutaredoxin domain-containing cysteine-rich protein 1|GRXCR1	UNIPROT:A8MXD5|GENE:389207
UNIPROT:Q6ZRP0:T116:PRGE	Proline-rich protein 23A|PRR23C	UNIPROT:Q6ZRP0|GENE:389152
UNIPROT:P18510:T116:PRGE	IL-1RN|IL1RN	UNIPROT:P18510|GENE:3557
UNIPROT:Q2TV78:T116:PRGE	Putative macrophage-stimulating protein MSTP9	UNIPROT:Q2TV78
UNIPROT:Q5TEC3:T116:PRGE	Zinc finger protein 697|ZNF697	UNIPROT:Q5TEC3|GENE:90874
UNIPROT:A6NGY1:T116:PRGE	Protein FRG2-like-2	UNIPROT:A6NGY1
UNIPROT:Q9NZ01:T116:PRGE	TER|TECR	UNIPROT:Q9NZ01|GENE:9524
UNIPROT:Q99835:T116:PRGE	Smoothened homolog|SMO	UNIPROT:Q99835|GENE:6608
UNIPROT:Q9BVK2:T116:PRGE	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase|ALG8	UNIPROT:Q9BVK2|GENE:79053
UNIPROT:Q9UIL1:T116:PRGE	Short coiled-coil protein|SCOC	UNIPROT:Q9UIL1|GENE:60592
UNIPROT:Q8WW32:T116:PRGE	High mobility group protein B4	UNIPROT:Q8WW32
UNIPROT:Q9H3Y0:T116:PRGE	Peptidase inhibitor R3HDML|R3HDML	UNIPROT:Q9H3Y0|GENE:140902
UNIPROT:P28845:T116:PRGE	Corticosteroid 11-beta-dehydrogenase isozyme 1|HSD11B1	UNIPROT:P28845|GENE:3290
UNIPROT:O15151:T116:PRGE	Protein Mdm4|MDM4	UNIPROT:O15151|GENE:4194
UNIPROT:Q9P1W3:T116:PRGE	Transmembrane protein 63C|TMEM63C	UNIPROT:Q9P1W3|GENE:57156
UNIPROT:P08922:T116:PRGE	Proto-oncogene tyrosine-protein kinase ROS|ROS1	UNIPROT:P08922|GENE:6098
UNIPROT:P16562:T116:PRGE	CRISP-2|CRISP2	UNIPROT:P16562|GENE:7180
UNIPROT:P78560:T116:PRGE	Death domain-containing protein CRADD|CRADD	UNIPROT:P78560|GENE:8738
UNIPROT:Q13546:T116:PRGE	Receptor-interacting serine/threonine-protein kinase 1|RIPK1	UNIPROT:Q13546|GENE:8737
UNIPROT:Q8NGK9:T116:PRGE	Olfactory receptor 5D16|OR5D16	UNIPROT:Q8NGK9|GENE:390144
UNIPROT:O00155:T116:PRGE	Probable G-protein coupled receptor 25|GPR25	UNIPROT:O00155|GENE:2848
UNIPROT:Q14549:T116:PRGE	Homeobox protein GBX-1|GBX1	UNIPROT:Q14549|GENE:2636
UNIPROT:Q15714:T116:PRGE	TSC22 domain family protein 1|TSC22D1	UNIPROT:Q15714|GENE:8848
UNIPROT:Q96KG7:T116:PRGE	Multiple EGF-like domains protein 10|MEGF10	UNIPROT:Q96KG7|GENE:84466
UNIPROT:Q12851:T116:PRGE	Mitogen-activated protein kinase kinase kinase kinase 2|MAP4K2	UNIPROT:Q12851|GENE:5871
UNIPROT:O60331:T116:PRGE	Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma|PIP5K1C	UNIPROT:O60331|GENE:23396
UNIPROT:P40424:T116:PRGE	Pre-B-cell leukemia transcription factor 1|PBX1	UNIPROT:P40424|GENE:5087
